date,ticker,beta_ewm,sharpe_ann,z_radius
2025-03-05,VIV.PA,-8.544723089414354,-1.0253364809888712,8.731663585657577
2024-12-24,ATO.PA,-6.791197566434302,0.2091486524637287,6.893611202704265
2025-01-02,ATO.PA,-6.788860665687737,0.2286544336739536,6.891879107672676
2024-12-31,ATO.PA,-6.767447994681252,0.2339977037236694,6.8703513802787946
2024-12-23,ATO.PA,-6.759788293898474,0.2134083228901118,6.861893562978482
2024-12-30,ATO.PA,-6.759099215702593,0.226622777847606,6.861630965412002
2024-12-27,ATO.PA,-6.542786614280754,0.2394825181222091,6.642752130472222
2025-01-03,ATO.PA,-6.493318256630546,0.2226172641196744,6.591986924831655
2024-12-06,ATO.PA,-6.287055014749393,0.2388124384193692,6.38344187278631
2024-12-20,ATO.PA,-6.153525959817999,0.192462978297537,6.246416221377121
2025-01-14,ATO.PA,-6.035038571618696,0.1857864633265175,6.126046731635622
2024-12-19,ATO.PA,-5.993735761901244,0.1982271273299964,6.084565050939923
2025-01-07,ATO.PA,-5.988816666571378,0.2085047692894449,6.079930765035206
2025-01-06,ATO.PA,-5.987201525345657,0.2236934774370965,6.078848891348048
2025-01-08,ATO.PA,-5.9549368656116215,0.2005149821530557,6.045299040429888
2025-01-09,ATO.PA,-5.948828559188007,0.1939129223910249,6.038883127845262
2025-01-13,ATO.PA,-5.908159990137028,0.1955350722587991,5.997697095237252
2025-01-10,ATO.PA,-5.876644279218231,0.1907524274393175,5.965579471271808
2025-01-15,ATO.PA,-5.868816186023284,0.1854754210606662,5.957469753811496
2025-01-29,ATO.PA,-5.865911673666679,0.2009332902499683,5.955040594174853
